Unit;CPT01;
org.apache.cassandra.io.sstable.SSTableLoader$CountDownCallback;X;
org.apache.cassandra.io.sstable.SSTableLoader$LoaderFuture;X;
org.apache.cassandra.io.sstable.SSTableLoader$OutputHandler;X;
org.apache.cassandra.io.sstable.SSTableMetadata;X;
org.apache.cassandra.io.sstable.SSTableMetadata$Collector;X;
org.apache.cassandra.io.sstable.SSTableMetadata$SSTableMetadataSerializer;X;
org.apache.cassandra.io.sstable.SSTableReader;X;
org.apache.cassandra.io.sstable.SSTableReader$Operator;X;
org.apache.cassandra.io.sstable.SSTableReader$Operator$Equals;X;
org.apache.cassandra.io.sstable.SSTableReader$Operator$GreaterThan;X;
org.apache.cassandra.io.sstable.SSTableReader$Operator$GreaterThanOrEqualTo;X;
org.apache.cassandra.io.sstable.SSTableScanner;X;
org.apache.cassandra.io.sstable.SSTableScanner$KeyScanningIterator;X;
org.apache.cassandra.io.sstable.SSTableSimpleUnsortedWriter;X;
org.apache.cassandra.io.sstable.SSTableSimpleWriter;X;
org.apache.cassandra.io.sstable.SSTableWriter;X;
org.apache.cassandra.io.sstable.SSTableWriter$IndexWriter;X;
org.apache.cassandra.io.util.AbstractDataInput;X;
org.apache.cassandra.io.util.BufferedSegmentedFile;X;
org.apache.cassandra.io.util.BufferedSegmentedFile$Builder;X;
org.apache.cassandra.io.util.ColumnIterator;X;
org.apache.cassandra.io.util.ColumnSet;X;
org.apache.cassandra.io.util.ColumnSortedMap;X;
org.apache.cassandra.io.util.CompressedSegmentedFile;X;
org.apache.cassandra.io.util.CompressedSegmentedFile$Builder;X;
org.apache.cassandra.io.util.DataOutputBuffer;X;
org.apache.cassandra.io.util.FastByteArrayInputStream;X;
org.apache.cassandra.io.util.FastByteArrayOutputStream;X;
org.apache.cassandra.io.util.FileDataInput;X;
org.apache.cassandra.io.util.FileMark;X;
org.apache.cassandra.io.util.FileUtils;X;
org.apache.cassandra.io.util.FileUtils$FileComparator;X;
org.apache.cassandra.io.util.IIterableColumns;X;
org.apache.cassandra.io.util.MappedFileDataInput;X;
org.apache.cassandra.io.util.MappedFileDataInput$MappedFileDataInputMark;X;
org.apache.cassandra.io.util.MemoryInputStream;X;
org.apache.cassandra.io.util.MemoryOutputStream;X;
org.apache.cassandra.io.util.MmappedSegmentedFile;X;
org.apache.cassandra.io.util.MmappedSegmentedFile$Builder;X;
org.apache.cassandra.io.util.OutputBuffer;X;
org.apache.cassandra.io.util.RandomAccessReader;X;
org.apache.cassandra.io.util.RandomAccessReader$BufferedRandomAccessFileMark;X;
org.apache.cassandra.io.util.SegmentedFile;X;
org.apache.cassandra.io.util.SegmentedFile$Builder;X;
org.apache.cassandra.io.util.SegmentedFile$Segment;X;
org.apache.cassandra.io.util.SegmentedFile$SegmentIterator;X;
org.apache.cassandra.io.util.SequentialWriter;X;
org.apache.cassandra.io.util.SequentialWriter$BufferedFileWriterMark;X;
org.apache.cassandra.locator.AbstractEndpointSnitch;X;
org.apache.cassandra.locator.AbstractNetworkTopologySnitch;X;
org.apache.cassandra.locator.AbstractReplicationStrategy;X;
org.apache.cassandra.locator.AdaptiveLatencyTracker;X;
org.apache.cassandra.locator.DynamicEndpointSnitch;X;
org.apache.cassandra.locator.DynamicEndpointSnitchMBean;X;
org.apache.cassandra.locator.Ec2MultiRegionSnitch;X;
org.apache.cassandra.locator.Ec2Snitch;X;
org.apache.cassandra.locator.EndpointSnitchInfo;X;
org.apache.cassandra.locator.EndpointSnitchInfoMBean;X;
org.apache.cassandra.locator.IEndpointSnitch;X;
org.apache.cassandra.locator.ILatencySubscriber;X;
org.apache.cassandra.locator.LocalStrategy;X;
