Unit;LoC;NOC;CBO;DIT;RFC;WMC;LCOM;LCOM2;LCOM3;NoA;NoPA;NoM;NoPM;NoI;Ca;Ce;CCC;LMLoC;LPL;TLoC;CLoC;FLoC;ECC;FCC;HCC;TCC;RCo;SCo;HCo;NoR;NoS;NoH;TFC;NoCA;NoCI;NoCRN;NoDR;NoEH;NoGH;NoGS;NoNPB;NoOC;NoOCA;NoSF;NoSKS
org.apache.cassandra.gms.VersionedValue$VersionedValueFactory;133.0;0.0;24.0;1.0;36.0;22.0;228.0;0.8636363636363636;0.9047619047619048;1.0;0.0;22.0;21.0;33.0;9.0;25.0;44.0;12.0;2.0;1.0;1.0;0.0;3.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
org.apache.cassandra.db.compaction.CompactionManager$CompactionExecutor;46.0;2.0;22.0;3.0;10.0;4.0;0.0;1.0;0.0;0.0;0.0;2.0;1.0;14.0;4.0;32.0;6.0;18.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.utils.MerkleTree$Leaf;65.0;0.0;19.0;2.0;6.0;1.0;1.0;1.0;2.0;3.0;1.0;2.0;2.0;18.0;7.0;22.0;8.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.service.StorageProxy$LocalRangeSliceRunnable;18.0;0.0;16.0;2.0;8.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;9.0;0.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.db.index.composites.CompositesIndex;127.0;0.0;40.0;4.0;31.0;22.0;62.0;0.9166666666666666;1.0;1.0;0.0;12.0;7.0;26.0;0.0;0.0;36.0;13.0;3.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;2.0;1.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.db.DefsTables;347.0;0.0;66.0;1.0;96.0;46.0;44.0;0.9285714285714286;1.0;1.0;0.0;14.0;3.0;185.0;0.0;0.0;60.0;63.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
org.apache.cassandra.utils.FastByteComparisons$LexicographicalComparerHolder;170.0;0.0;33.0;1.0;4.0;2.0;0.0;0.5;0.5;2.0;0.0;1.0;0.0;22.0;0.0;0.0;32.0;12.0;0.0;10.0;5.0;0.0;11.0;0.0;4.0;4.0;2.0;0.0;3.0;3.0;0.0;3.0;0.0;0.0;3.0;0.0;2.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0
org.apache.cassandra.io.sstable.ReducingKeyIterator;74.0;0.0;29.0;1.0;13.0;7.0;11.0;0.2857142857142857;0.3333333333333333;1.0;0.0;7.0;7.0;12.0;6.0;21.0;17.0;7.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.cassandra.config.DatabaseDescriptor;1167.0;0.0;93.0;1.0;215.0;216.0;3539.0;0.9458015267175572;0.9530769230769232;20.0;0.0;131.0;127.0;167.0;203.0;107.0;349.0;344.0;4.0;47.0;24.0;0.0;73.0;0.0;14.0;19.0;2.0;1.0;7.0;37.0;3.0;13.0;16.0;5.0;7.0;1.0;6.0;0.0;4.0;0.0;10.0;0.0;0.0;0.0;0.0
org.apache.cassandra.cql3.statements.TruncateStatement;46.0;0.0;22.0;3.0;10.0;2.0;0.0;1.0;0.0;0.0;0.0;5.0;5.0;10.0;1.0;28.0;7.0;18.0;2.0;1.0;3.0;0.0;12.0;0.0;3.0;1.0;2.0;3.0;3.0;4.0;6.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0
